"season","year","month","holiday","weekday","workingday","weathersit","temp","atemp","hum","windspeed","count"
3,0,7,0,6,0,1,0.804167,0.728537,0.465833,0.168537,4475
3,1,7,0,0,0,1,0.721667,0.667933,0.62375,0.170396,6597
4,0,10,0,3,1,2,0.484167,0.472846,0.720417,0.148642,3894
4,1,10,0,4,1,2,0.6575,0.607975,0.722917,0.117546,7328
4,1,11,0,3,1,1,0.289167,0.281563,0.552083,0.199625,5495
1,0,2,0,4,1,1,0.186957,0.177878,0.437826,0.277752,1550
1,1,1,0,3,1,1,0.303333,0.275254,0.443333,0.415429,3376
4,1,10,1,1,0,2,0.383333,0.387608,0.709583,0.189679,5478
1,1,2,0,5,1,1,0.313333,0.309346,0.526667,0.178496,4151
4,0,11,0,6,0,1,0.375833,0.385087,0.681667,0.0684208,3068
4,1,11,0,2,1,2,0.374167,0.380667,0.685,0.082725,5634
4,0,11,0,3,1,2,0.440833,0.430537,0.757917,0.335825,2566
2,1,5,0,3,1,1,0.564167,0.537896,0.797083,0.138058,6169
1,1,2,0,4,1,2,0.316667,0.330162,0.752917,0.091425,3005
1,0,3,0,2,1,2,0.317391,0.318178,0.655652,0.184309,2056
4,1,10,0,6,0,1,0.554167,0.538521,0.664167,0.268025,7965
3,0,6,0,6,0,1,0.695,0.643313,0.483333,0.209571,5202
1,0,1,0,1,1,2,0.180833,0.18625,0.60375,0.187192,1501
3,0,8,0,1,1,1,0.691667,0.638254,0.47,0.27675,4758
4,1,11,0,6,0,1,0.389167,0.393937,0.645417,0.0578458,6536
4,1,9,0,1,1,1,0.514167,0.502513,0.492917,0.142404,7436
2,1,5,0,0,0,2,0.5625,0.546737,0.74,0.149879,6359
2,1,3,0,5,1,2,0.37,0.375621,0.580833,0.138067,5459
4,1,12,0,2,1,1,0.475833,0.469054,0.73375,0.174129,6606
2,1,4,0,0,0,1,0.5,0.492425,0.275833,0.232596,5169
2,1,5,0,2,1,2,0.611667,0.576404,0.794583,0.147392,5115
1,1,1,0,4,1,1,0.19,0.190038,0.4975,0.220158,3292
1,1,2,0,4,1,1,0.454167,0.444446,0.554583,0.190913,5062
3,0,7,0,6,0,1,0.849167,0.804287,0.5,0.131221,3285
2,0,4,0,4,1,1,0.4675,0.462742,0.540417,0.1107,3267
4,1,11,0,2,1,1,0.280833,0.281567,0.567083,0.173513,5686
4,1,9,0,0,0,1,0.529167,0.518933,0.467083,0.223258,7907
2,1,4,0,5,1,1,0.4575,0.452637,0.400833,0.347633,6233
3,1,7,0,1,1,2,0.710833,0.654054,0.683333,0.180975,6569
1,0,1,0,2,1,2,0.216667,0.232333,0.861667,0.146775,683
4,0,11,0,2,1,2,0.458333,0.451375,0.830833,0.258092,2914
2,1,6,0,1,1,2,0.720833,0.659721,0.587917,0.207713,6664
2,0,5,0,2,1,1,0.775,0.725383,0.636667,0.111329,3982
3,0,8,0,2,1,1,0.775,0.724121,0.570417,0.151121,4602
2,0,6,0,5,1,1,0.755,0.703292,0.605,0.140554,4586
2,0,4,0,6,0,2,0.3425,0.341529,0.8775,0.133083,2455
4,0,10,0,5,1,2,0.550833,0.529675,0.71625,0.223883,3644
4,0,10,0,4,1,2,0.589167,0.551804,0.896667,0.141787,2913
3,0,9,0,0,0,1,0.653333,0.609229,0.71375,0.115054,5046
2,0,4,1,5,0,1,0.446667,0.441913,0.67125,0.226375,3126
2,0,4,0,3,1,1,0.390833,0.387608,0.470833,0.263063,2808
2,0,6,0,4,1,2,0.808333,0.757579,0.568333,0.149883,3915
4,0,11,0,2,1,2,0.53,0.507579,0.68875,0.199633,4195
3,0,7,0,5,1,1,0.7225,0.652162,0.39625,0.102608,5362
3,1,8,0,3,1,2,0.75,0.707717,0.672917,0.1107,7534
1,0,2,0,2,1,2,0.192174,0.23453,0.829565,0.053213,1360
4,0,10,0,5,1,2,0.330833,0.318812,0.585833,0.229479,3747
3,1,6,0,2,1,1,0.630833,0.594704,0.373333,0.347642,7442
2,0,3,0,4,1,2,0.285,0.270833,0.805833,0.243787,1865
1,1,1,0,0,0,1,0.166667,0.161625,0.419167,0.251258,2311
2,0,5,0,5,1,1,0.536667,0.529042,0.719583,0.125013,4917
2,0,3,0,1,1,1,0.264348,0.257574,0.302174,0.212204,2028
2,1,5,0,2,1,2,0.615,0.580825,0.765833,0.118167,6073
3,1,8,0,6,0,2,0.661667,0.618696,0.712917,0.244408,6053
3,0,9,0,5,1,2,0.65,0.578946,0.897917,0.124379,3544
2,1,3,0,4,1,1,0.554167,0.531567,0.83125,0.117562,6871
1,0,3,0,6,0,2,0.384167,0.378779,0.789167,0.251871,2077
3,0,9,0,3,1,1,0.673333,0.6269,0.697083,0.1673,4785
3,0,7,0,0,0,2,0.716667,0.668575,0.6825,0.228858,4649
3,1,6,0,3,1,1,0.6975,0.640792,0.36,0.271775,7335
1,1,12,0,6,0,2,0.253333,0.2424,0.752917,0.124383,1341
3,1,6,0,5,1,1,0.7775,0.724121,0.57375,0.182842,5823
3,1,6,0,6,0,1,0.731667,0.652792,0.534583,0.179721,7458
2,1,6,0,0,0,1,0.726667,0.663517,0.538333,0.133721,6598
4,0,10,0,3,1,3,0.541739,0.513848,0.895217,0.243339,2424
2,1,5,0,0,0,1,0.6125,0.585238,0.57625,0.225117,6118
1,1,2,1,1,0,1,0.28,0.273391,0.507826,0.229083,3129
