id,date,price,bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,view,condition,grade,sqft_above,sqft_basement,yr_built,yr_renovated,zipcode,lat,long,sqft_living15,sqft_lot15
402000260,20150211T000000,190000.0,2,1.0,700,9500,1.0,0,0,3,6,700.0,0,1951,0,98118,47.5294,-122.27600000000001,1020,5617
3901100015,20141230T000000,460000.0,3,1.75,1290,8580,1.0,0,0,4,7,1290.0,0,1962,0,98033,47.6707,-122.17399999999999,1840,8580
3856904655,20150329T000000,667750.0,4,1.0,1430,4080,1.5,0,0,3,7,1430.0,0,1924,0,98105,47.6696,-122.324,1760,4080
4137000280,20150222T000000,264500.0,3,2.5,1630,8346,1.0,0,0,3,8,1630.0,0,1990,0,98092,47.2622,-122.219,2110,8619
7883603425,20140529T000000,155000.0,3,1.0,1250,6250,1.0,0,0,2,7,1030.0,220,1949,0,98108,47.5292,-122.323,1130,6250
3340401535,20141105T000000,140000.0,1,1.0,730,6890,1.0,0,0,4,4,730.0,0,1926,0,98055,47.467,-122.215,1790,7969
8562710550,20140521T000000,950000.0,5,3.75,5330,6000,2.0,0,2,3,10,3570.0,1760,2006,0,98027,47.5401,-122.073,4420,5797
9557300190,20140711T000000,440000.0,3,2.25,1900,7225,1.0,0,0,3,8,1220.0,680,1970,0,98008,47.6394,-122.113,1900,7399
8682282070,20150112T000000,920000.0,3,3.5,2800,7694,1.0,0,0,3,9,2800.0,0,2005,0,98053,47.7095,-122.022,2420,7694
3893100456,20140813T000000,870000.0,3,2.5,3210,8630,2.0,0,0,4,10,2530.0,680,1990,0,98033,47.6939,-122.189,2630,8630
5418500650,20150325T000000,586000.0,4,2.25,1930,8338,1.0,0,0,3,8,1930.0,0,1968,0,98125,47.7026,-122.285,2280,7616
7370600020,20141007T000000,606000.0,3,1.75,1970,8540,1.0,0,3,4,8,1130.0,840,1950,0,98177,47.7213,-122.365,2280,8540
9353300820,20150511T000000,310000.0,3,1.0,1250,10723,1.0,0,0,4,7,1250.0,0,1961,0,98059,47.4894,-122.135,1520,10723
1125079088,20150402T000000,455000.0,2,1.0,1330,92782,1.0,0,0,2,6,1330.0,0,1950,0,98014,47.6624,-121.868,1280,168141
2636900126,20150312T000000,365000.0,4,2.5,1570,9600,1.0,0,0,3,7,800.0,770,1972,0,98155,47.7757,-122.303,1340,9110
326069132,20150220T000000,643000.0,3,1.5,1780,214315,1.0,0,0,3,7,1780.0,0,1954,0,98077,47.7631,-122.02799999999999,2740,133419
5470100220,20140909T000000,222000.0,3,1.5,1310,9273,1.0,0,0,4,7,1310.0,0,1968,0,98042,47.3683,-122.147,1710,9600
